"LKNTS_NM","DGNSS_ENGN_NM","OCCRRNC_LVSTCKCNT","LVSTCKSPC_NM","OCCRRNC_DE","FARM_LOCPLC"
"결핵병","서부지소",2,"소-육우",2003-07-31,"경기도 파주시 적성면 구읍리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-07-22,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-07-22,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",18,"돼지-육성돈",2003-07-25,"전라북도 익산시 왕궁면 구덕리"
"브루셀라병","충북 축산위생연구소",2,"소-젖소",2003-07-22,"충청북도 청주시 흥덕구 신촌동"
"브루셀라병","충북 축산위생연구소",2,"소-젖소",2003-07-22,"충청북도 청주시 청원구 오창읍 가곡리"
"브루셀라병","충북 축산위생연구소",16,"소-젖소",2003-07-30,"충청북도 청주시 청원구 오창읍 성산리"
"브루셀라병","충북 축산위생연구소",5,"소-젖소",2003-07-30,"충청북도 청주시 청원구 오창읍 성산리"
"브루셀라병","정읍지소",14,"소-젖소",2003-07-25,"전라북도 정읍시 소성면 신천리"
"결핵병","경북 가축위생시험소",1,"소-육우",2003-08-01,"경상북도 칠곡군 기산면 평복리"
"뉴캣슬병","정읍지소",28000,"닭-육계",2003-07-24,"전라북도 정읍시 정우면 회룡리"
"가금티프스","정읍지소",1500,"닭-육계",2003-07-29,"전라북도 정읍시 고부면 입석리"
"가금티프스","정읍지소",6500,"닭-육계",2003-07-31,"전라북도 정읍시 북면 복흥리"
"결핵병","울산 보건환경연구원",9,"소-젖소",2003-07-24,"울산광역시 울주군 두서면 복안리"
"가금티프스","경남 축산진흥연구소",2000,"닭-산란계",2003-08-06,"경상남도 하동군 적량면 동산리"
"브루셀라병","경북 가축위생시험소",6,"소-한우",2003-08-07,"경상북도 영천시 고경면 청정리"
"가금티프스","경북 가축위생시험소",34000,"닭-산란계",2003-08-07,"경상북도 군위군 고로면 학성리"
"결핵병","경남 남부지소",2,"소-젖소",2003-07-31,"경상남도 고성군 영오면 영산리"
"결핵병","경남 남부지소",3,"소-젖소",2003-07-31,"경상남도 고성군 개천면 청광리"
"결핵병","경기도축산위생연구소",3,"소-육우",2003-08-07,"경기도 화성시 우정읍 석천리"
"결핵병","강원 가축위생시험소",1,"소-젖소",2003-07-10,"강원도 철원군 갈말읍 문혜리"
"뉴캣슬병","전남 축산기술연구소",30000,"닭-육계",2003-08-06,"전라남도 영암군 서호면 엄길리"
"뉴캣슬병","전남 축산기술연구소",65800,"닭-육계",2003-08-06,"전라남도 장흥군 용산면 어산리"
"가금티프스","전남 축산기술연구소",4000,"닭-육계",2003-08-11,"전라남도 함평군 나산면 삼축리"
"결핵병","충남 아산지소",2,"소-육우",2003-07-31,"충청남도 아산시 염치읍 석두리"
"결핵병","충남 아산지소",15,"소-육우",2003-08-01,"충청남도 아산시 도고면 도산리"
"결핵병","충남 아산지소",1,"소-육우",2003-08-01,"충청남도 아산시 신창면 오목리"
"결핵병","충남 아산지소",1,"소-육우",2003-08-04,"충청남도 아산시 신창면 창암리"
"가금티프스","정읍지소",1500,"닭-육계",2003-08-07,"전라북도 정읍시 태인면 증산리"
"가금티프스","정읍지소",1600,"닭-육계",2003-08-11,"전라북도 정읍시 북면 승부리"
"돼지오제스키병","경기북부 북부지소",5,"돼지-육성돈",2003-08-09,"경기도 양주시 백석읍 연곡리"
"결핵병","충북 축산위생연구소",3,"소-젖소",2003-08-09,"충청북도 청주시 흥덕구 옥산면 가락리"
"결핵병","통합지소",1,"소-육우",2003-08-16,"충청남도 당진군 합덕읍 도곡리"
"가금티프스","경북 가축위생시험소",37000,"닭-육계",2002-12-28,"경상북도 군위군 소보면 송원리"
"가금티프스","경북 가축위생시험소",38000,"닭-육계",2002-12-28,"경상북도 군위군 소보면 송원리"
"뉴캣슬병","조류질병과",17000,"닭-육계",2003-07-16,"경기도 화성시 안석동"
"가금티프스","경북 가축위생시험소",20000,"닭-육계",2002-01-15,"경상북도 성주군 성주읍 대흥리"
"결핵병","경북 가축위생시험소",4,"소-젖소",2001-09-06,"경상북도 구미시 고아읍 원호리"
"결핵병","경북 가축위생시험소",1,"소-젖소",2002-09-06,"경상북도 구미시 고아읍 원호리"
"결핵병","경북 가축위생시험소",4,"소-젖소",2002-11-14,"경상북도 구미시 고아읍 원호리"
"결핵병","경북 서부지소",1,"소-젖소",2001-08-31,"경상북도 김천시 남면 용전리"
"결핵병","경북 서부지소",1,"소-젖소",2001-10-12,"경상북도 김천시 남면 용전리"
"결핵병","경북 서부지소",1,"소-젖소",2002-09-13,"경상북도 김천시 남면 용전리"
"결핵병","경북 서부지소",7,"소-젖소",2002-12-02,"경상북도 김천시 남면 용전리"
"결핵병","경북 서부지소",1,"소-젖소",2001-10-26,"경상북도 문경시 마성면 외어리"
"결핵병","경북 서부지소",12,"소-젖소",2002-10-23,"경상북도 문경시 마성면 외어리"
"결핵병","경북 서부지소",6,"소-젖소",2002-12-26,"경상북도 문경시 마성면 외어리"
"결핵병","경북 서부지소",29,"소-젖소",2002-07-17,"경상북도 포항시 북구 기계면 봉계리"
"결핵병","경북 동부지소",2,"소-젖소",2002-10-15,"경상북도 포항시 북구 기계면 봉계리"
"브루셀라병","경북 북부지소",1,"소-젖소",2002-11-29,"경상북도 안동시 녹전면 사신리"
"결핵병","경북 가축위생시험소",2,"소-젖소",2001-07-12,"경상북도 구미시 고아읍 원호리"
"결핵병","경북 동부지소",2,"소-육우",2003-07-11,"경상북도 포항시 북구 기계면 봉계리"
"돼지오제스키병","경기도축산위생연구소",4,"돼지",2003-07-18,"경기도 화성시 장안면 수촌리"
"가금티프스","동북부지소",90,"닭-산란계",2003-08-20,"경기도 남양주시 화도읍 차산리"
"결핵병","경기 남부지소",1,"소-육우",2003-08-22,"경기도 안성시 공도읍 진사리"
"가금티프스","경기 동부지소",15000,"닭-육계",2003-08-25,"경기도 여주시 점동면 청안리"
"가금티프스","충북 축산위생연구소",6200,"닭-육계",2003-08-22,"충청북도 증평군 도안면 노암리"
"결핵병","전남 동부지소",1,"소-육우",2003-08-14,"전라남도 순천시 낙안면 교촌리"
"뉴캣슬병","전남 축산기술연구소",71400,"닭-육계",2003-08-28,"전라남도 순천시 대대동"
"뉴캣슬병","전남 축산기술연구소",60000,"닭-육계",2003-08-28,"전라남도 순천시 대대동"
"가금티프스","제일바이오",8000,"닭-산란계",2003-08-20,"경상북도 봉화군 봉화읍 도촌리"
"돼지열병","경북 가축위생시험소",40,"돼지",2003-08-09,"경상북도 상주시 낙동면 유곡리"
"결핵병","서부지소",1,"소-육우",2003-08-29,"경기도 파주시 적성면 구읍리"
"브루셀라병","충남 공주지소",2,"소-젖소",2003-08-28,"세종특별자치시  연서면 기룡리"
"결핵병","충남 아산지소",2,"소-육우",2003-07-11,"충청남도 아산시 영인면 창용리"
"결핵병","충남 아산지소",1,"소-육우",2003-07-11,"충청남도 아산시 음봉면 삼거리"
"돼지열병","경남 축산진흥연구소",40,"돼지",2003-03-21,"경상남도 함안군 함안면 봉성리"
"돼지열병","경남 축산진흥연구소",2,"돼지",2003-04-20,"경상남도 함안군 함안면 괴산리"
"돼지열병","경남 축산진흥연구소",10,"돼지",2003-04-20,"경상남도 함안군 칠북면 화천리"
"브루셀라병","축산진흥연구소",19,"소-육우",2003-04-21,"전라북도 부안군 보안면 신복리"
"돼지열병","경남 축산진흥연구소",2,"돼지",2003-04-20,"경상남도 함안군 칠서면 태곡리"
"브루셀라병","축산진흥연구소",1,"소-한우",2003-04-21,"전라북도 부안군 변산면"
"브루셀라병","축산진흥연구소",6,"소-육우",2003-06-09,"전라북도 부안군 보안면 신복리"
"브루셀라병","축산진흥연구소",1,"소-한우",2003-06-09,"전라북도 부안군 변산면"
"결핵병","울산 보건환경연구원",23,"소-젖소",2003-05-02,"울산광역시 울주군 두서면 복안리"
"결핵병","울산 보건환경연구원",7,"소-젖소",2003-05-12,"울산광역시 울주군 두서면 복안리"
"결핵병","울산 보건환경연구원",1,"소-젖소",2003-07-04,"울산광역시 울주군 언양읍 반송리"
"돼지열병","축산진흥연구소",5,"돼지",2003-03-20,"전라북도 익산시 왕궁면 온수리"
"돼지열병","축산진흥연구소",10,"돼지",2003-03-20,"전라북도 익산시 왕궁면 온수리"
"돼지열병","축산진흥연구소",10,"돼지",2003-03-22,"전라북도 익산시 왕궁면 구덕리"
"돼지열병","축산진흥연구소",11,"돼지",2003-03-23,"전라북도 익산시 왕궁면 온수리"
"돼지열병","축산진흥연구소",22,"돼지",2003-03-23,"전라북도 익산시 왕궁면 구덕리"
"돼지열병","축산진흥연구소",12,"돼지",2003-04-07,"전라북도 김제시 용지면 용수리"
"뉴캣슬병","정읍지소",7000,"닭-육계",2003-05-30,"전라북도 정읍시 고부면 백운리"
"뉴캣슬병","정읍지소",25000,"닭-육계",2003-04-09,"전라북도 고창군 흥덕면 신덕리"
"결핵병","정읍지소",1,"소-육우",2003-06-20,"전라북도 정읍시 덕천면 신월리"
"돼지열병","충남 아산지소",10,"돼지-육성돈",2003-03-21,"충청남도 아산시 신창면 행목리"
"돼지오제스키병","익산지소",3,"돼지-육성돈",2003-06-18,"전라북도 익산시 왕궁면 온수리"
"브루셀라병","정읍지소",30,"소-한우",2003-02-20,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",55,"소-한우",2003-02-24,"전라북도 정읍시 북면 한교리"
"돼지오제스키병","익산지소",8,"돼지-육성돈",2003-06-18,"전라북도 익산시 왕궁면 온수리"
"브루셀라병","정읍지소",2,"소-한우",2003-02-24,"전라북도 정읍시 이평면 오금리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-06-18,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",4,"돼지-육성돈",2003-06-19,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-06-19,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",3,"돼지-육성돈",2003-06-19,"전라북도 익산시 왕궁면 온수리"
"브루셀라병","정읍지소",2,"소-한우",2003-02-24,"전라북도 정읍시 소성면 용정리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-06-19,"전라북도 익산시 왕궁면 온수리"
"브루셀라병","정읍지소",5,"소-한우",2003-02-24,"전라북도 정읍시 신월동"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-06-20,"전라북도 익산시 왕궁면 온수리"
"브루셀라병","정읍지소",1,"소-한우",2003-02-24,"전라북도 정읍시 구룡동"
"브루셀라병","정읍지소",3,"소-한우",2003-02-24,"전라북도 부안군 부안읍 신운리"
"돼지오제스키병","익산지소",4,"돼지-육성돈",2003-06-23,"전라북도 익산시 왕궁면 구덕리"
"돼지오제스키병","익산지소",4,"돼지-육성돈",2003-06-23,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2003-06-23,"전라북도 익산시 왕궁면 구덕리"
"브루셀라병","정읍지소",1,"소-한우",2003-02-24,"전라북도 부안군 변산면"
"브루셀라병","정읍지소",30,"소-한우",2003-02-24,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",25,"소-한우",2003-04-21,"전라북도 정읍시 북면 한교리"
"브루셀라병","정읍지소",33,"소-한우",2003-04-21,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",8,"소-한우",2003-04-21,"전라북도 정읍시 이평면 오금리"
"브루셀라병","정읍지소",2,"소-한우",2003-04-21,"전라북도 정읍시 소성면 용정리"
"브루셀라병","정읍지소",4,"소-한우",2003-04-21,"전라북도 정읍시 신월동"
"브루셀라병","정읍지소",4,"소-한우",2003-04-21,"전라북도 정읍시 구룡동"
"브루셀라병","정읍지소",4,"소-육우",2003-04-28,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",28,"소-한우",2003-06-07,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",5,"소-한우",2003-06-07,"전라북도 정읍시 이평면 오금리"
"브루셀라병","정읍지소",13,"소-한우",2003-06-07,"전라북도 정읍시 북면 한교리"
"브루셀라병","정읍지소",2,"소-한우",2003-06-07,"전라북도 정읍시 구룡동"
"브루셀라병","정읍지소",8,"소-한우",2003-06-07,"전라북도 정읍시 신월동"
"브루셀라병","정읍지소",2,"소-젖소",2003-06-17,"전라북도 정읍시 소성면 주천리"
"브루셀라병","정읍지소",1,"소-젖소",2003-06-20,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",8,"소-한우",2003-07-11,"전라북도 정읍시 이평면 오금리"
"브루셀라병","정읍지소",16,"소-한우",2003-07-11,"전라북도 정읍시 북면 한교리"
"브루셀라병","정읍지소",2,"소-한우",2003-03-26,"전라북도 정읍시 이평면 오금리"
"브루셀라병","정읍지소",2,"소-한우",2003-03-27,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",1,"소-한우",2003-03-31,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",1,"소-한우",2003-04-03,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",1,"소-한우",2003-04-10,"전라북도 정읍시 고부면 입석리"
"브루셀라병","경북 서부지소",1,"소-젖소",2003-07-03,"경상북도 문경시 산양면 부암리"
"브루셀라병","정읍지소",2,"소-한우",2003-04-14,"전라북도 정읍시 고부면 입석리"
"브루셀라병","경북 서부지소",1,"소-육우",2003-07-03,"경상북도 문경시 산양면 부암리"
"브루셀라병","정읍지소",1,"소-한우",2003-04-14,"전라북도 정읍시 신월동"
"브루셀라병","정읍지소",1,"소-한우",2003-05-01,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",2,"소-한우",2003-05-23,"전라북도 정읍시 신월동"
"브루셀라병","정읍지소",1,"소-한우",2003-05-26,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",1,"소-젖소",2003-06-24,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",2,"소-한우",2003-03-20,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",1,"소-한우",2003-03-23,"전라북도 정읍시 이평면 오금리"
"브루셀라병","경북 북부지소",1,"소-젖소",2003-07-02,"경상북도 안동시 녹전면 사신리"
"결핵병","충북 축산위생연구소",1,"소-육우",2003-03-28,"충청북도 진천군 백곡면 석현리"
"결핵병","경기북부 북부지소",2,"소-육우",2003-02-17,"경기도 포천시 영북면 대회산리"
"결핵병","경기북부 북부지소",2,"소-육우",2003-03-14,"경기도 양주시 율정동"
"결핵병","경기북부 북부지소",1,"소-육우",2003-03-20,"경기도 의정부시 녹양동"
"결핵병","경기북부 북부지소",5,"소-육우",2003-03-20,"경기도 의정부시 낙양동"
"결핵병","경기북부 북부지소",9,"소-육우",2003-03-21,"경기도 동두천시 상패동"
"결핵병","경기북부 북부지소",1,"소-육우",2003-05-02,"경기도 포천시 가산면 금현리"
"결핵병","경기북부 북부지소",1,"소-육우",2003-05-30,"경기도 의정부시 낙양동"
"결핵병","경기북부 북부지소",1,"소-육우",2003-06-12,"경기도 연천군 백학면 두일리"
"결핵병","경기북부 북부지소",4,"소-육우",2003-07-03,"경기도 양주시 백석읍 홍죽리"
"결핵병","경기북부 북부지소",6,"소-육우",2003-07-03,"경기도 양주시 백석읍 기산리"
"결핵병","경기북부 북부지소",4,"소-육우",2003-07-03,"경기도 양주시 백석읍 기산리"
"브루셀라병","정읍지소",1,"소-젖소",2003-09-27,"전라북도 정읍시 소성면 주천리"
"돼지오제스키병","경기 남부지소",259,"돼지",2001-11-12,"경기도 안성시 일죽면 죽림리"
"돼지오제스키병","경기 남부지소",36,"돼지",2001-11-13,"경기도 안성시 일죽면 죽림리"
"돼지오제스키병","경기 남부지소",104,"돼지",2001-11-13,"경기도 안성시 일죽면 장암리"
"돼지오제스키병","경기 남부지소",6,"돼지",2002-01-21,"경기도 안성시 일죽면 죽림리"
"돼지오제스키병","경기 남부지소",8,"돼지",2002-01-21,"경기도 안성시 일죽면 장암리"
"돼지오제스키병","경기 남부지소",5,"돼지",2002-01-21,"경기도 안성시 일죽면 죽림리"
"돼지오제스키병","경기 남부지소",8,"돼지",2001-11-21,"경기도 안성시 삼죽면 미장리"
"돼지오제스키병","경기 남부지소",3,"돼지",2001-11-26,"경기도 안성시 일죽면 죽림리"
"돼지오제스키병","경기 남부지소",1,"돼지",2001-11-26,"경기도 안성시 일죽면 죽림리"
"돼지오제스키병","경기 남부지소",3,"돼지",2001-11-26,"경기도 안성시 일죽면 장암리"
"돼지오제스키병","경기 남부지소",50,"돼지",2002-01-21,"경기도 안성시 일죽면 월정리"
"결핵병","축산진흥연구소",2,"소-젖소",2003-09-25,"전라북도 완주군 구이면 평촌리"
"돼지오제스키병","경기 남부지소",1,"돼지",2001-04-18,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",3,"돼지",2002-03-21,"경기도 용인시 처인구 포곡읍 유운리"
"돼지오제스키병","경기 남부지소",18,"돼지",2001-04-10,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",13,"돼지",2001-04-10,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",4,"돼지",2000-12-28,"경기도 용인시 처인구 백암면 용천리"
"돼지오제스키병","경기 남부지소",24,"돼지",2001-10-09,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",7,"돼지",2001-02-19,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",2,"돼지",2001-05-25,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",6,"돼지",2001-08-23,"경기도 용인시 처인구 포곡읍 유운리"
"돼지오제스키병","경기 남부지소",8,"돼지",2001-04-10,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",12,"돼지",2000-12-15,"경기도 용인시 처인구 백암면 근곡리"
"돼지오제스키병","경기 남부지소",34,"돼지",2001-02-14,"경기도 용인시 처인구 모현면 능원리"
"돼지오제스키병","경기 남부지소",4,"돼지",2001-03-16,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",32,"돼지",2001-10-09,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",16,"돼지",2001-09-27,"경기도 용인시 처인구 모현면 매산리"
"브루셀라병","충남 공주지소",6,"소-육우",2003-08-28,"세종특별자치시  연서면 기룡리"
"브루셀라병","충남 공주지소",2,"소-육우",2003-08-28,"세종특별자치시  연서면 기룡리"
"브루셀라병","정읍지소",2,"소-한우",2003-08-22,"전라북도 정읍시 북면 한교리"
"브루셀라병","정읍지소",1,"소-한우",2003-08-22,"전라북도 정읍시 이평면 오금리"
"결핵병","경기 동부지소",1,"소-육우",2003-08-20,"경기도 이천시 백사면 모전리"
"돼지오제스키병","익산지소",6,"돼지-육성돈",2003-08-21,"전라북도 익산시 낭산면 석천리"
"돼지오제스키병","익산지소",2,"돼지-육성돈",2003-08-25,"전라북도 익산시 낭산면 석천리"
"결핵병","강원 가축위생시험소",1,"소-젖소",2003-08-21,"강원도 철원군 근남면 사곡리"
"브루셀라병","강원 가축위생시험소",1,"소-젖소",2003-08-21,"강원도 철원군 서면 자등리"
"브루셀라병","경북 서부지소",1,"소-젖소",2003-08-31,"경상북도 문경시 산양면 부암리"
"뉴캣슬병","남원지소",13000,"닭-육계",2003-08-21,"전라북도 임실군 덕치면 회문리"
"가금티프스","제일바이오",26000,"닭",2003-08-12,"경상북도 김천시 감문면 덕남리"
"가금티프스","제일바이오",13000,"닭",2003-08-12,"경상북도 김천시 개령면 덕촌리"
"돼지오제스키병","경기도축산위생연구소",1,"돼지",2003-08-13,"경기도 화성시 장안면 수촌리"
"돼지열병","통합지소",11,"돼지-육성돈",2003-08-20,"충청남도 당진군 합덕읍"
"돼지열병","통합지소",18,"돼지-육성돈",2003-08-26,"충청남도 당진군 송악읍 도원리"
"결핵병","충남 아산지소",1,"소-육우",2003-09-03,"충청남도 천안시 서북구 성환읍 왕림리"
"가금티프스","축산진흥연구소",4000,"닭-육계",2003-09-05,"전라북도 김제시 금구면 월전리"
"결핵병","충남 부여지소",1,"소-육우",2003-08-20,"충청남도 서천군 비인면 관리"
"결핵병","충남 부여지소",6,"소-육우",2003-08-29,"충청남도 논산시 광석면 중리"
"브루셀라병","충북 축산위생연구소",2,"소-젖소",2003-08-07,"충청북도 청주시 청원구 오동동"
"브루셀라병","충북 축산위생연구소",2,"소-젖소",2003-08-25,"충청북도 청주시 흥덕구 옥산면 동림리"
"브루셀라병","충북 축산위생연구소",5,"소-젖소",2003-08-25,"충청북도 청주시 흥덕구 옥산면 동림리"
"브루셀라병","충북 축산위생연구소",2,"소-젖소",2003-09-01,"충청북도 청주시 청원구 오창읍 성산리"
"브루셀라병","충남 가축위생연구소",1,"소-육우",2003-09-03,"충청남도 보령시 미산면"
"가금티프스","제일바이오",500,"닭-산란계",2003-09-01,"강원도 원주시 호저면 만종리"
"결핵병","동북부지소",5,"소-육우",2003-09-05,"경기도 가평군 하면 현리"
"결핵병","강원 가축위생시험소",11,"소-젖소",2002-11-07,"강원도 철원군 김화읍 학사리"
"가금티프스","충북 축산위생연구소",3000,"닭-육계",2002-11-12,"충청북도 진천군 진천읍 신정리"
"가금티프스","충북 북부지소",2000,"닭-육계",2002-01-08,"충청북도 충주시 신니면 문락리"
"가금티프스","충북 북부지소",2000,"닭-육계",2002-05-30,"충청북도 충주시 신니면 문락리"
"가금티프스","충북 북부지소",1800,"닭-육계",2002-12-30,"충청북도 충주시 신니면 문락리"
"브루셀라병","충북 축산위생연구소",5,"소-육우",2002-10-28,"충청북도 청주시 흥덕구 신촌동"
"브루셀라병","충북 축산위생연구소",2,"소-육우",2002-12-08,"충청북도 청주시 흥덕구 신촌동"
"결핵병","충북 북부지소",1,"소-육우",2001-04-26,"충청북도 음성군 음성읍 초천리"
"브루셀라병","충북 축산위생연구소",6,"소-육우",2000-07-10,"충청북도 청주시 청원구 오창읍 성산리"
"브루셀라병","충북 축산위생연구소",4,"소-육우",2000-10-02,"충청북도 청주시 청원구 오창읍 성산리"
"브루셀라병","충북 축산위생연구소",1,"소-육우",2001-09-14,"충청북도 청주시 청원구 오창읍 성산리"
"브루셀라병","정읍지소",4,"소-젖소",2003-09-08,"전라북도 정읍시 고부면 입석리"
"돼지오제스키병","익산지소",6,"돼지-육성돈",2002-10-11,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",7,"돼지-육성돈",2002-06-26,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",2,"돼지-육성돈",2002-04-25,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",1,"돼지-육성돈",2002-11-15,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",21,"돼지-육성돈",2001-10-22,"전라북도 익산시 왕궁면 온수리"
"돼지오제스키병","익산지소",2,"돼지-육성돈",2001-05-03,"전라북도 익산시 왕궁면 온수리"
"브루셀라병","정읍지소",1,"소-젖소",2003-04-28,"전라북도 정읍시 고부면 입석리"
"브루셀라병","정읍지소",19,"소-젖소",2003-05-29,"전라북도 정읍시 고부면 입석리"
"결핵병","충남 아산지소",1,"소-육우",2002-11-14,"충청남도 천안시 서북구 직산읍 모시리"
"결핵병","통합지소",2,"소-육우",2002-11-04,"충청남도 당진군 신평면 신흥리"
"결핵병","충남 가축위생연구소",1,"소-육우",2002-11-22,"충청남도 예산군 삽교읍 삽교리"
"결핵병","통합지소",4,"소-육우",2002-04-19,"충청남도 당진군 합덕읍"
"결핵병","통합지소",19,"소-육우",2002-06-24,"충청남도 당진군 합덕읍"
"결핵병","통합지소",1,"소-육우",2002-08-29,"충청남도 당진군 합덕읍"
"결핵병","통합지소",4,"소-육우",2002-11-08,"충청남도 당진군 합덕읍"
"결핵병","충남 공주지소",4,"소-육우",2002-06-28,"충청남도 공주시 사곡면 신영리"
"결핵병","충남 공주지소",1,"소-육우",2002-12-11,"충청남도 공주시 사곡면 신영리"
"결핵병","통합지소",9,"소-육우",2002-12-20,"충청남도 당진군 신평면 부수리"
"결핵병","충남 부여지소",31,"소-육우",2002-10-23,"충청남도 논산시 광석면 중리"
"브루셀라병","충남 공주지소",1,"소-육우",2002-11-30,"충청남도 공주시 장기면 평기리"
"브루셀라병","충남 공주지소",4,"소-육우",2002-10-14,"충청남도 연기군 남면 고정리"
"브루셀라병","충남 공주지소",5,"소-육우",2002-11-18,"충청남도 연기군 남면 고정리"
"브루셀라병","충남 공주지소",1,"소-육우",2002-12-02,"충청남도 연기군 남면 고정리"
"브루셀라병","충남 공주지소",3,"소-육우",2002-12-23,"충청남도 연기군 남면 고정리"
"브루셀라병","충남 공주지소",4,"소-육우",2002-10-14,"세종특별자치시  연서면 기룡리"
"브루셀라병","충남 공주지소",3,"소-육우",2002-11-18,"세종특별자치시  연서면 기룡리"
"브루셀라병","충남 공주지소",2,"소-육우",2002-12-23,"세종특별자치시  연서면 기룡리"
"결핵병","서부지소",2,"소-육우",2002-12-26,"경기도 고양시 일산동구 설문동"
"결핵병","서부지소",1,"소-육우",2003-05-09,"경기도 고양시 일산동구 설문동"
"결핵병","경남 축산진흥연구소",7,"소-젖소",2002-12-05,"경상남도 남해군 설천면 비란리"
"결핵병","경남 축산진흥연구소",7,"소-젖소",2003-02-07,"경상남도 남해군 설천면 비란리"
"결핵병","경남 남부지소",11,"소-젖소",2002-12-09,"경상남도 고성군 개천면 청광리"
"결핵병","경남 남부지소",1,"소-젖소",2002-11-06,"경상남도 창원시 마산회원구 내서읍 감천리"
"결핵병","경남 남부지소",1,"소-육우",2002-11-21,"경상남도 마산시 구산면 옥계리"
"결핵병","경남 남부지소",3,"소-젖소",2002-07-19,"경상남도 고성군 개천면 청광리"
"결핵병","경남 남부지소",3,"소-젖소",2002-09-30,"경상남도 고성군 개천면 청광리"
"결핵병","경남 남부지소",4,"소-젖소",2002-12-09,"경상남도 고성군 개천면 청광리"
"결핵병","경남 남부지소",8,"소-젖소",2002-11-21,"경상남도 창원시 마산합포구 구산면 옥계리"
"결핵병","경남 남부지소",3,"소-젖소",2002-12-05,"경상남도 창원시 마산회원구 내서읍 평성리"
"돼지오제스키병","경기 남부지소",1,"돼지",2001-04-10,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",1,"돼지",2002-03-12,"경기도 용인시 처인구 포곡읍 유운리"
"돼지오제스키병","경기 남부지소",2,"돼지",2000-12-05,"경기도 용인시 처인구 포곡읍 유운리"
"돼지오제스키병","경기 남부지소",14,"돼지",2000-12-05,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",7,"돼지",2000-12-05,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",1,"돼지",2000-12-15,"경기도 용인시 처인구 백암면 용천리"
"돼지오제스키병","경기 남부지소",8,"돼지",2000-12-05,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",2,"돼지",2000-12-05,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",1,"돼지",2001-04-10,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",21,"돼지",2001-04-10,"경기도 용인시 처인구 포곡읍 유운리"
"돼지오제스키병","경기 남부지소",8,"돼지",2000-12-05,"경기도 용인시 처인구 포곡읍 신원리"
"돼지오제스키병","경기 남부지소",4,"돼지",2000-12-05,"경기도 용인시 처인구 모현면 갈담리"
"돼지오제스키병","경기 남부지소",36,"돼지",2000-10-07,"경기도 용인시 처인구 백암면 근곡리"
